"year","week","total_deaths"
2022,17,21
2022,24,36
2022,36,32
2022,41,33
2022,44,31
2022,47,26
2022,34,28
2022,25,38
2022,1,36
2022,28,49
2022,3,30
2022,38,41
2022,45,40
2022,5,17
2022,27,35
2022,7,19
2022,35,28
2022,39,33
2022,12,21
2022,48,38
2022,10,29
2022,11,35
2022,13,18
2022,14,24
2022,15,24
2022,16,22
2022,18,32
2022,2,38
2022,23,25
2022,26,25
2022,29,38
2022,30,37
2022,4,38
2022,40,29
2022,42,33
2022,43,37
2022,46,22
2022,49,33
2022,50,31
2022,52,30
2022,6,31
2022,8,23
2022,9,31
2023,1,19
2022,19,28
2022,20,23
2022,21,27
2022,22,30
2022,31,41
2022,33,36
2022,37,25
2022,51,14
2022,32,33
