"","orgunitlevel3","Q3"
"1","Abim District",1014
"2","Adjumani District",5422
"3","Agago District",3617
"4","Alebtong District",758
"5","Amolatar District",741
"6","Amudat District",366
"7","Amuria District",1672
"8","Amuru District",2749
"9","Apac District",1666
"10","Arua City",1185
"11","Arua District",4375
"12","Budaka District",420
"13","Bududa District",455
"14","Bugiri District",1070
"15","Bugweri District",1453
"16","Buhweju District",99
"17","Buikwe District",1948
"18","Bukedea District",1051
"19","Bukomansimbi District",402
"20","Bukwo District",114
"21","Bulambuli District",565
"22","Buliisa District",991
"23","Bundibugyo District",1733
"24","Bunyangabu District",300
"25","Bushenyi District",416
"26","Busia District",3201
"27","Butaleja District",693
"28","Butambala District",792
"29","Butebo District",577
"30","Buvuma District",353
"31","Buyende District",1210
"32","Dokolo District",1561
"33","Fort Portal City",157
"34","Gomba District",545
"35","Gulu City",1497
"36","Gulu District",2372
"37","Hoima City",270
"38","Hoima District",886
"39","Ibanda District",1373
"40","Iganga District",2737
"41","Isingiro District",2663
"42","Jinja City",933
"43","Jinja District",1870
"44","Kaabong District",1294
"45","Kabale District",91
"46","Kabarole District",420
"47","Kaberamaido District",658
"48","Kagadi District",926
"49","Kakumiro District",965
"50","Kalaki District",820
"51","Kalangala District",213
"52","Kaliro District",1491
"53","Kalungu District",522
"54","Kampala District",2344
"55","Kamuli District",3919
"56","Kamwenge District",2378
"57","Kanungu District",1044
"58","Kapchorwa District",142
"59","Kapelebyong District",737
"60","Karenga District",694
"61","Kasese District",2761
"62","Kassanda District",906
"63","Katakwi District",1506
"64","Kayunga District",2260
"65","Kazo District",733
"66","Kibaale District",633
"67","Kiboga District",826
"68","Kibuku District",510
"69","Kikuube District",2150
"70","Kiruhura District",579
"71","Kiryandongo District",1526
"72","Kisoro District",211
"73","Kitagwenda District",715
"74","Kitgum District",2596
"75","Koboko District",2558
"76","Kole District",1744
"77","Kotido District",1248
"78","Kumi District",1689
"79","Kwania District",1366
"80","Kween District",209
"81","Kyankwanzi District",618
"82","Kyegegwa District",2288
"83","Kyenjojo District",1430
"84","Kyotera District",2158
"85","Lamwo District",3841
"86","Lira City",912
"87","Lira District",1416
"88","Luuka District",2444
"89","Luwero District",2830
"90","Lwengo District",933
"91","Lyantonde District",426
"92","Madi-Okollo District",2866
"93","Manafwa District",781
"94","Maracha District",2750
"95","Masaka City",254
"96","Masaka District",763
"97","Masindi District",1226
"98","Mayuge District",2962
"99","Mbale City",1292
"100","Mbale District",1884
"101","Mbarara City",109
"102","Mbarara District",368
"103","Mitooma District",527
"104","Mityana District",1393
"105","Moroto District",727
"106","Moyo District",3150
"107","Mpigi District",700
"108","Mubende District",1459
"109","Mukono District",2014
"110","Nabilatuk District",690
"111","Nakapiripirit District",912
"112","Nakaseke District",694
"113","Nakasongola District",1249
"114","Namayingo District",1936
"115","Namisindwa District",550
"116","Namutumba District",1092
"117","Napak District",1092
"118","Nebbi District",2520
"119","Ngora District",1072
"120","Ntoroko District",113
"121","Ntungamo District",845
"122","Nwoya District",2082
"123","Obongi District",1924
"124","Omoro District",2262
"125","Otuke District",912
"126","Oyam District",3270
"127","Pader District",2566
"128","Pakwach District",2031
"129","Pallisa District",843
"130","Rakai District",1723
"131","Rubanda District",70
"132","Rubirizi District",199
"133","Rukiga District",63
"134","Rukungiri District",723
"135","Rwampara District",56
"136","Sembabule District",995
"137","Serere District",989
"138","Sheema District",173
"139","Sironko District",776
"140","Soroti City",907
"141","Soroti District",1510
"142","Terego District",3772
"143","Tororo District",1415
"144","Wakiso District",2412
"145","Yumbe District",8490
"146","Zombo District",1629
